"","clone","cell"
"0","0","CRC04_LN1_349"
"1","0","CRC04_LN1_350"
"2","0","CRC04_LN1_351"
"3","0","CRC04_LN1_352"
"4","0","CRC04_LN1_353"
"5","0","CRC04_LN1_354"
"6","0","CRC04_LN1_355"
"7","0","CRC04_LN1_356"
"8","0","CRC04_LN1_357"
"9","0","CRC04_LN1_358"
"10","0","CRC04_LN1_360"
"11","0","CRC04_LN1_361"
"12","0","CRC04_LN1_362"
"13","0","CRC04_LN1_363"
"14","0","CRC04_LN1_364"
"15","0","CRC04_LN1_377"
"16","0","CRC04_LN1_378"
"17","0","CRC04_LN1_380"
"18","0","CRC04_LN1_381"
"19","0","CRC04_LN1_401"
"20","0","CRC04_LN1_402"
"21","0","CRC04_LN1_403"
"22","0","CRC04_LN2_465"
"23","0","CRC04_LN2_468"
"24","0","CRC04_LN2_469"
"25","0","CRC04_LN2_476"
"26","0","CRC04_LN2_477"
"27","0","CRC04_LN2_480"
"28","0","CRC04_LN2_481"
"29","0","CRC04_LN2_483"
"30","0","CRC04_LN2_484"
"31","0","CRC04_LN2_485"
"32","0","CRC04_LN2_486"
"33","0","CRC04_LN2_491"
"34","0","CRC04_LN2_492"
"35","1","CRC04_NC_297"
"36","1","CRC04_NC_301"
"37","1","CRC04_NC_303"
"38","1","CRC04_NC_304"
"39","1","CRC04_NC_305"
"40","1","CRC04_NC_306"
"41","1","CRC04_NC_307"
"42","1","CRC04_NC_310"
"43","1","CRC04_NC_311"
"44","1","CRC04_NC_312"
"45","1","CRC04_NC_313"
"46","1","CRC04_NC_315"
"47","1","CRC04_NC_317"
"48","1","CRC04_PT1_596"
"49","1","CRC04_PT2_533"
"50","1","CRC04_PT2_534"
"51","1","CRC04_PT2_537"
"52","1","CRC04_PT2_540"
"53","1","CRC04_PT2_541"
"54","1","CRC04_PT2_543"
"55","1","CRC04_PT2_544"
"56","1","CRC04_PT2_546"
"57","1","CRC04_PT2_548"
"58","1","CRC04_PT2_549"
"59","1","CRC04_PT2_551"
"60","1","CRC04_PT2_552"
"61","1","CRC04_PT2_559"
"62","1","CRC04_PT2_561"
"63","1","CRC04_PT2_562"
"64","1","CRC04_PT2_563"
"65","1","CRC04_PT2_564"
"66","1","CRC04_PT3_742"
"67","1","CRC04_PT3_755"
"68","0","CRC04_PT4_509"
"69","0","CRC04_PT4_515"
"70","0","CRC04_PT4_516"
"71","1","CRC04_PT4_517"
"72","1","CRC04_PT4_526"
"73","0","CRC04_PT4_531"
"74","1","CRC04_PT5_701"
"75","1","CRC04_PT5_702"
"76","1","CRC04_PT5_703"
"77","1","CRC04_PT5_709"
"78","1","CRC04_PT5_711"
"79","1","CRC04_PT5_712"
"80","1","CRC04_PT5_714"
"81","1","CRC04_PT5_716"
"82","1","CRC04_PT5_717"
"83","1","CRC04_PT5_720"
"84","1","CRC04_PT5_721"
"85","1","CRC04_PT5_722"
"86","1","CRC04_PT5_724"
"87","1","CRC04_PT5_725"
"88","1","CRC04_PT5_726"
"89","1","CRC04_PT5_728"
"90","1","CRC04_PT5_729"
"91","1","CRC04_PT5_730"
"92","1","CRC04_PT5_731"
