,clone,cell
0,2,CRC10_LN1_003
1,1,CRC10_LN1_004
2,2,CRC10_LN1_005
3,2,CRC10_LN1_006
4,2,CRC10_LN1_007
5,2,CRC10_LN1_008
6,0,CRC10_LN1_010
7,2,CRC10_LN1_011
8,0,CRC10_LN1_012
9,3,CRC10_LN1_013
10,0,CRC10_LN1_014
11,1,CRC10_LN1_015
12,1,CRC10_LN1_016
13,2,CRC10_LN1_017
14,2,CRC10_LN1_018
15,1,CRC10_LN1_019
16,1,CRC10_LN1_020
17,0,CRC10_LN1_021
18,1,CRC10_LN1_022
19,2,CRC10_LN1_023
20,2,CRC10_LN1_024
21,3,CRC10_LN1_025
22,1,CRC10_LN1_026
23,2,CRC10_LN1_028
24,2,CRC10_LN1_029
25,0,CRC10_LN1_030
26,1,CRC10_LN1_031
27,2,CRC10_LN1_032
28,0,CRC10_LN1_033
29,1,CRC10_LN1_035
30,1,CRC10_LN1_037
31,1,CRC10_LN1_038
32,1,CRC10_LN1_039
33,0,CRC10_LN1_041
34,2,CRC10_LN1_042
35,0,CRC10_LN1_043
36,1,CRC10_LN1_044
37,1,CRC10_LN1_046
38,2,CRC10_LN1_047
39,1,CRC10_LN1_048
40,1,CRC10_LN3_049
41,1,CRC10_LN3_050
42,1,CRC10_LN3_051
43,1,CRC10_LN3_052
44,1,CRC10_LN3_053
45,1,CRC10_LN3_054
46,1,CRC10_LN3_055
47,1,CRC10_LN3_056
48,1,CRC10_LN3_057
49,1,CRC10_LN3_058
50,1,CRC10_LN3_059
51,1,CRC10_LN3_060
52,1,CRC10_LN3_061
53,1,CRC10_LN3_062
54,1,CRC10_LN3_063
55,1,CRC10_LN3_064
56,1,CRC10_LN3_065
57,0,CRC10_LN3_066
58,1,CRC10_LN3_067
59,0,CRC10_LN3_070
60,1,CRC10_LN3_073
61,1,CRC10_LN3_080
62,0,CRC10_NC_201
63,0,CRC10_NC_202
64,0,CRC10_NC_203
65,0,CRC10_NC_204
66,0,CRC10_NC_205
67,0,CRC10_NC_206
68,2,CRC10_PT1_149
69,1,CRC10_PT1_150
70,1,CRC10_PT1_155
71,1,CRC10_PT1_156
72,1,CRC10_PT1_160
73,2,CRC10_PT1_175
74,1,CRC10_PT1_189
75,1,CRC10_PT1_191
76,1,CRC10_PT2_235
77,1,CRC10_PT3_106
78,1,CRC10_PT3_107
79,1,CRC10_PT3_108
80,1,CRC10_PT3_109
81,1,CRC10_PT3_110
82,1,CRC10_PT3_111
83,1,CRC10_PT3_112
84,1,CRC10_PT3_113
85,1,CRC10_PT3_115
86,1,CRC10_PT3_117
87,1,CRC10_PT3_118
88,1,CRC10_PT3_119
89,1,CRC10_PT3_120
90,1,CRC10_PT3_121
91,1,CRC10_PT3_122
92,1,CRC10_PT3_123
93,0,CRC10_PT3_124
94,1,CRC10_PT3_125
95,1,CRC10_PT3_126
96,1,CRC10_PT3_127
97,1,CRC10_PT3_128
98,1,CRC10_PT3_129
99,1,CRC10_PT3_130
100,1,CRC10_PT3_132
101,1,CRC10_PT3_133
102,1,CRC10_PT3_135
103,1,CRC10_PT3_136
104,1,CRC10_PT3_137
105,1,CRC10_PT3_138
106,1,CRC10_PT3_139
107,0,CRC10_PT3_140
108,1,CRC10_PT3_141
109,1,CRC10_PT3_142
110,1,CRC10_PT3_143
111,1,CRC10_PT3_144
112,1,CRC10_PT3_145
113,1,CRC10_PT3_146
114,1,CRC10_PT4_733
115,3,CRC10_PT4_734
116,3,CRC10_PT4_738
117,1,CRC10_PT4_739
118,1,CRC10_PT4_740
119,1,CRC10_PT4_743
120,1,CRC10_PT4_745
121,1,CRC10_PT4_746
122,1,CRC10_PT4_747
